serial_num,subject_code,course_type,lab_or_lecture,department,branch,batch,faculty_code,floor,room_num,day,start_time,end_time,year,duration
1.0,NLP,PE,lecture,all,all,N,RK,6,601,monday,09:00:00,11:00:00,TE,2
2.0,BAP,PE,lab,all,all,F,SC,4,410B,monday,09:00:00,11:00:00,TE,2
3.0,EH,PE,lab,all,all,B,RP,4,406A,monday,09:00:00,11:00:00,TE,2
4.0,BCT,PE,lab,all,all,C-PE,DDA,4,404,monday,09:00:00,11:00:00,TE,2
5.0,DC,PC,lecture,CSE,DS,all,SBG,4,407,monday,11:15:00,12:15:00,TE,1
6.0,ML,PC,lecture,CSE,DS,all,SJK,4,407,monday,12:15:00,13:15:00,TE,1
7.0,BAP,PE,lab,all,all,A,SC,6,606B,monday,14:00:00,16:00:00,TE,2
8.0,EH,PE,lab,all,all,A,RP,4,406A,monday,14:00:00,16:00:00,TE,2
9.0,DSA,OE,lab,all,all,B,VH,4,408,monday,14:00:00,16:00:00,TE,2
10.0,CC,OE,lab,all,all,C,VB,4,406B,monday,14:00:00,16:00:00,TE,2
11.0,CSDF,OE,lab,all,all,S,DCK,3,308,monday,14:00:00,16:00:00,TE,2
12.0,DA,OE,lab,all,all,B,RS,6,606A,monday,14:00:00,16:00:00,TE,2
13.0,UED,OE,lab,all,all,C,VK,6,608,monday,14:00:00,16:00:00,TE,2
14.0,BCT,OE,lab,all,all,C-OE,SYC,4,410A,monday,14:00:00,16:00:00,TE,2
15.0,BDA,PE,lecture,all,all,N,AH,2,203,tuesday,09:00:00,11:00:00,TE,2
16.0,BAP,PE,lab,all,all,H,SC,7,702,tuesday,09:00:00,11:00:00,TE,2
17.0,BCT,PE,lab,all,all,E-PE,SYC,4,410A,tuesday,09:00:00,11:00:00,TE,2
18.0,EH,PE,lab,all,all,D,RP,4,406A,tuesday,09:00:00,11:00:00,TE,2
19.0,BCT,OE,lab,all,all,F-OE,DDA,4,404,tuesday,09:00:00,11:00:00,TE,2
20.0,NLP,PE,lab,all,all,B,RK,6,608,tuesday,09:00:00,11:00:00,TE,2
21.0,ML,PC,lab,CSE,DS,C,SD,4,406A,tuesday,11:15:00,12:15:00,TE,1
22.0,ML,PC,lab,CSE,DS,D,SD,4,406B,tuesday,12:15:00,13:15:00,TE,1
23.0,DC,PC,lab,CSE,DS,A,SBG,4,410A,tuesday,11:15:00,12:15:00,TE,1
24.0,DC,PC,lab,CSE,DS,B,SBG,4,410B,tuesday,12:15:00,13:15:00,TE,1
25.0,BAP,PE,lab,all,all,C,SC,6,606B,tuesday,14:00:00,16:00:00,TE,2
26.0,HMI,OE,lab,all,all,C,DRK,4,410A,tuesday,14:00:00,16:00:00,TE,2
27.0,HMI,OE,lab,all,all,D,DRK,4,410B,tuesday,14:00:00,16:00:00,TE,2
28.0,CC,OE,lab,all,all,B,VB,4,406B,tuesday,14:00:00,16:00:00,TE,2
29.0,CSDF,OE,lab,all,all,A,DCK,3,308,tuesday,14:00:00,16:00:00,TE,2
30.0,DA,OE,lab,all,all,A,RS,6,606A,tuesday,14:00:00,16:00:00,TE,2
31.0,DSA,OE,lab,all,all,C,VH,4,408,tuesday,14:00:00,16:00:00,TE,2
32.0,UED,OE,lab,all,all,A,VK,6,608,tuesday,14:00:00,16:00:00,TE,2
33.0,BCT,OE,lab,all,all,B-OE,RP,4,404,tuesday,14:00:00,16:00:00,TE,2
34.0,BAP,PE,lecture,all,all,N,SC,0,008,wednesday,09:00:00,10:00:00,TE,1
35.0,EH,PE,lab,all,all,E,RF,4,406A,wednesday,09:00:00,10:00:00,TE,1
36.0,BCT,PE,lab,all,all,A-PE,SYC,4,410A,wednesday,09:00:00,10:00:00,TE,1
37.0,BDA,PE,lab,all,all,D,AH,4,410B,wednesday,09:00:00,10:00:00,TE,1
38.0,ML,PE,lab,all,all,C,SD,4,406B,wednesday,09:00:00,10:00:00,TE,1
39.0,DC,PC,lab,CSE,DS,C,SBG,4,406A,wednesday,11:15:00,12:15:00,TE,1
40.0,DC,PC,lab,CSE,DS,D,SND,6,604,wednesday,12:15:00,13:15:00,TE,1
41.0,ML,PC,lab,CSE,DS,A,AH,4,404,wednesday,11:15:00,12:15:00,TE,1
42.0,ML,PC,lab,CSE,DS,B,SD,4,406B,wednesday,12:15:00,13:15:00,TE,1
